attacks,card_format,card_number,card_type,damages,energy,evolution,evolved_from,expansion,hp,illustrators,languages,name,rarity,resistance,retreat_cost,variants,weakness
,Expanded,162/147,"Full Art Trainer,Item",,,,,Burning Shadows,,Eske Yoshinob,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Choice Band,Rare Secret,,,Unlimited,
Beatdown;Peerless Hundred Blows-GX,Expanded,137/147,"Full Art Pokémon,Pokémon-GX",120;50×,Fighting,Basic,,Burning Shadows,150,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Marshadow-GX,Rare Ultra,,1,Unlimited,Psychic×2
,Expanded,125/147,Item,,,,,Burning Shadows,,Toyste Beach,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Tormenting Spray,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,124/147,Item,,,,,Burning Shadows,,Toyste Beach,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Super Scoop Up,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,123/147,Supporter,,,,,Burning Shadows,,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sophocles,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,122/147,Item,,,,,Burning Shadows,,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rotom Dex Poké Finder Mode,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,121/147,Stadium,,,,,Burning Shadows,,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Po Town,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,120/147,Supporter,,,,,Burning Shadows,,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Plumeria,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,119/147,Supporter,,,,,Burning Shadows,,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Olivia,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,118/147,Stadium,,,,,Burning Shadows,,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Mount Lanakila,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,117/147,Supporter,,,,,Burning Shadows,,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lana,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,116a/147,Supporter,,,,,Burning Shadows,,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Kiawe,Uncommon,,,"Yellow A Alternate, Pokémon League",
,Expanded,116/147,Supporter,,,,,Burning Shadows,,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Kiawe,Uncommon,,,Unlimited;Reverse Holo,
,Expanded,115a/147,Supporter,,,,,Burning Shadows,,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Guzma,Uncommon,,,"Yellow A Alternate, Regional Championships;Yellow A Alternate, Regional Championships (Staff)",
,Expanded,115/147,Supporter,,,,,Burning Shadows,,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Guzma,Uncommon,,,Unlimited;Reverse Holo;Regional Championships;Regional Championships (Staff),
,Expanded,113/147,"Item,Pokémon Tool",,,,,Burning Shadows,,Eske Yoshinob,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bodybuilding Dumbbells,Uncommon,,,Unlimited;Reverse Holo;League Cup;League Cup (Staff),
,Expanded,112a/147,Supporter,,,,,Burning Shadows,,Hideki Ishikawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Acerola,Uncommon,,,"Yellow A Alternate, League Challenge (1st Place);Yellow A Alternate, League Challenge (2nd Place);Yellow A Alternate, League Challenge (3rd Place);Yellow A Alternate, League Challenge (4th Place)",
,Expanded,112/147,Supporter,,,,,Burning Shadows,,Ken Sugimori,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Acerola,Uncommon,,,Unlimited;Reverse Holo,
Mix-Up;Tantrum,Expanded,111/147,Pokémon,0;120,Colorless,Stage 1,Stufful,Burning Shadows,120,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bewear,Rare,,2,Unlimited;Reverse Holo,Fighting×2
Baby-Doll Eyes;Tackle,Expanded,110/147,Pokémon,0;20,Colorless,Basic,,Burning Shadows,70,Sekio,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Stufful,Common,,2,"Unlimited;Reverse Holo;Toys ""R"" Us",Fighting×2
Agility,Expanded,109/147,Pokémon,10,Colorless,Basic,,Burning Shadows,50,Yumi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Noibat,Common,Fighting-20,1,Unlimited;Reverse Holo,Lightning×2
Bouffant Head;Knock Over,Expanded,108/147,Pokémon,30;80,Colorless,Basic,,Burning Shadows,120,TOKIYA,,Bouffalant,Uncommon,,2,,Fighting×2
Hypnoblast;Night Raid,Expanded,107/147,Pokémon,30;70,Colorless,Stage 1,Hoothoot,Burning Shadows,90,Sekio,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Noctowl,Uncommon,Fighting-20,1,Unlimited;Reverse Holo,Lightning×2
See Through;Peck,Expanded,106/147,Pokémon,0;20,Colorless,Basic,,Burning Shadows,60,MAHOU,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Hoothoot,Common,Fighting-20,1,Unlimited;Reverse Holo,Lightning×2
Zap Cannon,Expanded,105a/147,Pokémon,80,Colorless,Stage 2,Porygon2,Burning Shadows,130,Shin Nagasawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Porygon-Z,Rare Holo,,2,Yellow A Alternate,Fighting×2
Zap Cannon,Expanded,105/147,Pokémon,80,Colorless,Stage 2,Porygon2,Burning Shadows,130,MAHOU,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Porygon-Z,Rare Holo,,2,Unlimited;Reverse Holo,Fighting×2
Calculate;Beam,Expanded,104/147,Pokémon,0;40,Colorless,Stage 1,Porygon,Burning Shadows,80,Midori Harada,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Porygon2,Uncommon,,1,Unlimited;Reverse Holo,Fighting×2
Code Check;Beam,Expanded,103/147,Pokémon,0;10,Colorless,Basic,,Burning Shadows,60,Shin Nagasawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Porygon,Common,,1,Unlimited;Reverse Holo,Fighting×2
Screech;Slash,Expanded,102/147,Pokémon,0;40,Colorless,Stage 1,Meowth,Burning Shadows,90,Sekio,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Persian,Rare,,1,Unlimited;Reverse Holo,Fighting×2
Fake Out,Expanded,101/147,Pokémon,10,Colorless,Basic,,Burning Shadows,60,Kagemaru Himeno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Meowth,Common,,1,Unlimited;Reverse Holo,Fighting×2
Land Crush;Core Enforcer,Expanded,100/147,Pokémon,80;150,Dragon,Basic,,Burning Shadows,150,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Zygarde,Rare Holo,,4,Unlimited;Reverse Holo;Pokémon League,Fairy×2
Distort;Sonic Volume;Boomburst-GX,Expanded,99/147,Pokémon-GX,50;120;0,Dragon,Stage 1,Noibat,Burning Shadows,200,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Noivern-GX,Rare Holo GX,,0,Unlimited,Fairy×2
Strength Sap;Sleep Pulse,Expanded,98/147,Pokémon,30;60,Fairy,Stage 1,Morelull,Burning Shadows,100,Naoki Saito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Shiinotic,Rare,Darkness-20,2,Unlimited;Reverse Holo,Metal×2
Ram,Expanded,97/147,Pokémon,10,Fairy,Basic,,Burning Shadows,60,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Morelull,Common,Darkness-20,1,Unlimited;Reverse Holo,Metal×2
Pollen Ball,Expanded,96/147,Pokémon,20,Fairy,Stage 1,Cutiefly,Burning Shadows,70,Megumi Mizutani,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ribombee,Uncommon,Darkness-20,1,Unlimited;Reverse Holo,Metal×2
Fairy Wind,Expanded,95/147,Pokémon,10,Fairy,Basic,,Burning Shadows,30,Atsuko Nishida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cutiefly,Common,Darkness-20,0,Unlimited;Reverse Holo,Metal×2
Sparkling Wish;Diamond Storm,Expanded,94/147,Pokémon,0;30,Fairy,Basic,,Burning Shadows,90,TOKIYA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Diancie,Rare Holo,Darkness-20,1,Unlimited;Reverse Holo;Pokémon League,Metal×2
Infinite Force;Twilight-GX,Expanded,93/147,Pokémon-GX,30×;0,Fairy,Stage 2,Kirlia,Burning Shadows,230,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gardevoir-GX,Rare Holo GX,Darkness-20,2,Unlimited,Metal×2
Smack;Magical Shot,Expanded,92a/147,Pokémon,20;30,Fairy,Stage 1,Ralts,Burning Shadows,80,Anesaki Dynamic,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Kirlia,Uncommon,Darkness-20,1,Yellow A Alternate,Metal×2
Draining Kiss,Expanded,91/147,Pokémon,10,Fairy,Basic,,Burning Shadows,60,Yumi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ralts,Common,Darkness-20,1,Unlimited;Reverse Holo,Metal×2
Psybeam;Energy Slosh,Expanded,90/147,Pokémon,20;70,Darkness,Stage 1,Inkay,Burning Shadows,100,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Malamar,Rare,Psychic-20,1,Unlimited;Reverse Holo,Fighting×2
Constrict;Tackle,Expanded,89/147,Pokémon,0;20,Darkness,Basic,,Burning Shadows,60,OOYAMA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Inkay,Common,Psychic-20,1,Unlimited;Reverse Holo,Fighting×2
Dark Cleave;Dead End-GX,Expanded,88a/147,Pokémon-GX,130;0,Darkness,Basic,,Burning Shadows,180,PLANETA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Darkrai-GX,Rare Holo GX,Psychic-20,2,"Yellow A Alternate;Yellow A Alternate, Jumbo Size",Fighting×2
Dark Cleave;Dead End-GX,Expanded,88/147,Pokémon-GX,130;0,Darkness,Basic,,Burning Shadows,180,PLANETA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Darkrai-GX,Rare Holo GX,Psychic-20,2,Unlimited,Fighting×2
Hypnoblast;Dark Raid,Expanded,87/147,Pokémon,30;80+,Darkness,Basic,,Burning Shadows,120,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Darkrai,Rare Holo,Psychic-20,2,Unlimited;Reverse Holo;Pokémon League,Fighting×2
Rule of Evil;Slash,Expanded,86/147,Pokémon,0;70,Darkness,Stage 1,Sneasel,Burning Shadows,90,Satoshi Shirai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Weavile,Rare,Psychic-20,0,Unlimited;Reverse Holo,Fighting×2
Hone Claws;Slash,Expanded,85/147,Pokémon,0;20,Darkness,Basic,,Burning Shadows,70,Hasuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sneasel,Common,Psychic-20,1,Unlimited;Reverse Holo,Fighting×2
Division;Slippery Sludge,Expanded,83/147,Alolan Pokémon,0;0,Darkness,Basic,,Burning Shadows,80,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Alolan Grimer,Common,Psychic-20,3,Unlimited;Reverse Holo,Fighting×2
Enhanced Fang;Hyper Fang,Expanded,82/147,Alolan Pokémon,10+;60,Darkness,Stage 1,Alolan Rattata,Burning Shadows,120,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Alolan Raticate,Rare,Psychic-20,3,Unlimited;Reverse Holo,Fighting×2
Chemical Breath;Crunch;Tri Hazard-GX,Expanded,84/147,"Alolan Pokémon,Pokémon-GX",10+;120;0,Darkness,Stage 1,Alolan Grimer,Burning Shadows,220,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Alolan Muk-GX,Rare Holo GX,Psychic-20,4,Unlimited,Fighting×2
Punch;Intentional Grounding,Expanded,79/147,Pokémon,30;90,Fighting,Basic,,Burning Shadows,110,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Passimian,Rare,,1,Unlimited;Reverse Holo,Psychic×2
Kick Away;Vigorous Dash,Expanded,78/147,Pokémon,60;130,Fighting,Stage 1,Mudbray,Burning Shadows,130,TOKIYA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Mudsdale,Rare,,3,Unlimited;Reverse Holo,Grass×2
Beatdown;Peerless Hundred Blows-GX,Expanded,80/147,Pokémon-GX,120;50×,Fighting,Basic,,Burning Shadows,150,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Marshadow-GX,Rare Holo GX,,1,Unlimited;Jumbo Size,Psychic×2
Stomp,Expanded,77/147,Pokémon,20+,Fighting,Basic,,Burning Shadows,80,Saya Tsuruta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Mudbray,Common,,2,Unlimited;Reverse Holo,Grass×2
Focus Energy;Bite,Expanded,81/147,Alolan Pokémon,0;10,Darkness,Basic,,Burning Shadows,40,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Alolan Rattata,Common,Psychic-20,1,Unlimited;Reverse Holo,Fighting×2
Rock Throw;Accelerock,Expanded,76/147,Pokémon,30;100,Fighting,Stage 1,Rockruff,Burning Shadows,110,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lycanroc,Rare,,2,Unlimited;Reverse Holo;Cracked Ice Holo;Water Web Holo,Grass×2
Double Draw;Solar Heat,Expanded,69/147,Pokémon,0;20,Fighting,Basic,,Burning Shadows,90,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Solrock,Uncommon,,1,Unlimited;Reverse Holo,Grass×2
Gutsy Hammer;Double Stomp,Expanded,74/147,Pokémon,80;80+,Fighting,Stage 1,Crabrawler,Burning Shadows,140,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Crabominable,Rare,,4,Unlimited;Reverse Holo,Psychic×2
Quick Guard;Brick Break,Expanded,72/147,Pokémon,0;40,Fighting,Basic,,Burning Shadows,90,Shigenori Negishi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sawk,Common,,2,Unlimited;Reverse Holo,Psychic×2
Dangerous Claws;Corner,Expanded,75/147,Pokémon,30+;90,Fighting,Stage 1,Rockruff,Burning Shadows,110,Shin Nagasawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lycanroc,Rare Holo,,2,Unlimited;Reverse Holo,Grass×2
Light Punch,Expanded,73/147,Pokémon,40,Fighting,Basic,,Burning Shadows,80,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Crabrawler,Common,,2,Unlimited;Reverse Holo,Psychic×2
Submarine Blow,Expanded,71/147,Pokémon,120,Fighting,Stage 1,Riolu,Burning Shadows,120,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lucario,Rare Holo,,1,Unlimited;Reverse Holo;Non-holo,Psychic×2
Punch;Low Kick,Expanded,70/147,Pokémon,10;30,Fighting,Basic,,Burning Shadows,70,Saya Tsuruta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Riolu,Common,,1,Unlimited;Reverse Holo,Psychic×2
Karate Chop,Expanded,72/145,Pokémon,60-,Fighting,Basic,,Guardians Rising,60,TOKIYA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pancham,Common,,2,Unlimited;Reverse Holo,Psychic×2
Water Pulse;Landslip,Expanded,71/145,Pokémon,60;100×,Fighting,Stage 1,Barboach,Guardians Rising,130,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Whiscash,Rare,,3,Unlimited;Reverse Holo,Grass×2
Slap;Psybeam,Expanded,53/145,Pokémon,20;30,Psychic,Stage 1,Gothita,Guardians Rising,80,kawayoo,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gothorita,Uncommon,,2,Unlimited;Reverse Holo,Psychic×2
Double Shot,Expanded,67/145,Pokémon,0,Fighting,Basic,,Guardians Rising,70,Mina Nakai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gligar,Common,,1,Unlimited;Reverse Holo,Grass×2
Hook;Mud-Slap,Expanded,70/145,Pokémon,10;20,Fighting,Basic,,Guardians Rising,60,sui,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Barboach,Common,,2,Unlimited;Reverse Holo,Grass×2
Ram;Rising Lunge,Expanded,69/145,Pokémon,20;30+,Fighting,Basic,,Guardians Rising,80,Tomokazu Komiya,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Nosepass,Common,,3,Unlimited;Reverse Holo,Grass×2
Finishing Stinger;Guillotine,Expanded,68/145,Pokémon,70;90,Fighting,Stage 1,Gligar,Guardians Rising,110,Yoshinobu Saito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gliscor,Uncommon,,1,Unlimited;Reverse Holo,Grass×2
Claw Slash;Dangerous Rogue-GX,Expanded,74/145,Pokémon-GX,110;50×,Fighting,Stage 1,Rockruff,Guardians Rising,200,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lycanroc-GX,Rare Holo GX,,2,Unlimited,Grass×2
Rock Throw,Expanded,66/145,Pokémon,40,Fighting,Basic,,Guardians Rising,100,Hajime Kusajima,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sudowoodo,Uncommon,,2,Unlimited;Reverse Holo,Water×2
Corner;Wild Kick,Expanded,73/145,Pokémon,0;30,Fighting,Basic,,Guardians Rising,60,Naoki Saito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rockruff,Common,,1,Unlimited;Reverse Holo,Grass×2
Settle the Score;Submission,Expanded,65/145,Pokémon,20+;150,Fighting,Stage 2,Machoke,Guardians Rising,160,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Machamp,Rare Holo,,3,Unlimited;Reverse Holo,Psychic×2
Cross Chop,Expanded,64/145,Pokémon,30+,Fighting,Stage 1,Machop,Guardians Rising,100,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Machoke,Uncommon,,3,Unlimited;Reverse Holo,Psychic×2
Dynamic Chop,Expanded,63/145,Pokémon,50,Fighting,Basic,,Guardians Rising,60,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Machop,Common,,2,Unlimited;Reverse Holo,Psychic×2
Enhanced Stomp;High Horsepower,Expanded,76/145,Pokémon,60+;180,Fighting,Stage 1,Mudbray,Guardians Rising,140,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Mudsdale,Rare Holo,,4,Unlimited;Reverse Holo;Non-holo,Grass×2
,Expanded,21/30,Item,,,,,SM Trainer Kit (Lycanroc),,Ryo Ueda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Great Ball,,,,Unlimited,
Flickering Spores;Ram,Expanded,16/149,Pokémon,0;10,Grass,Basic,,Sun & Moon,60,Saya Tsuruta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Morelull,Common,,1,Unlimited;Reverse Holo,Fire×2
Defense Curl;Discharge,Expanded,26/30,Pokémon,0;30×,Lightning,Basic,,SM Trainer Kit (Alolan Raichu),70,match,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Togedemaru,,Metal-20,1,Unlimited,Fighting×2
,Expanded,1/30,Basic Energy,,,,,SM Trainer Kit (Alolan Raichu),,,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lightning Energy,,,,Unlimited,
Dark Clamp;Fight Back,Expanded,91/149,Pokémon,30;50+,Fairy,Stage 1,Snubbull,Sun & Moon,110,Suwama Chiaki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Granbull,Uncommon,Darkness-20,2,Unlimited;Reverse Holo,Metal×2
