name,expansion
Cleffa,HGSS Black Star Promos
Weedle,Great Encounters
Cleffa,HeartGold & SoulSilver
Cleffa,Neo Genesis
Cosmoem,Ultra Prism
Clawitzer BREAK,Steam Siege
Tierno,XY Trainer Kit (Suicune)
Warp Energy,Aquapolis
Swoop! Teleporter,EX Team Rocket Returns
Cacnea,Plasma Freeze
Treecko,Lost Thunder
TV Reporter,EX Dragon Frontiers
Billowing Smoke,Darkness Ablaze
Bill's Teleporter,Neo Genesis
Bill's Maintenance,POP Series 5
Cacturne,Celestial Storm
TV Reporter,EX Dragon
TV Reporter,Celestial Storm
Bill's Maintenance,Expedition Base Set
Cacturne,EX Sandstorm
Bill's Maintenance,EX FireRed & LeafGreen
Bill's Maintenance,EX Crystal Guardians
Bill's Maintenance,Celestial Storm
Bill's Analysis,Team Up
TV Reporter,POP Series 2
Swoobat,Cosmic Eclipse
Bill's Analysis,Hidden Fates
Bill,Legendary Collection
Bill,HeartGold & SoulSilver
Bill,HGSS Trainer Kit (Gyarados)
Bill,Base Set 2
Switch Raft,Dragon Majesty
Switch,XY Trainer Kit (Sylveon)
Caitlin,Plasma Blast
Call Energy,Majestic Dawn
Switch,XY Trainer Kit (Noivern)
Switch,Sword & Shield
Switch,Sun & Moon
Switch,Stormfront
Bird Keeper,Darkness Ablaze
Traveling Salesman,Aquapolis
Tropical Tidal Wave,Nintendo Black Star Promos
Trainers' Mail,Ancient Origins
Town Map,BREAKthrough
Town Map,Boundaries Crossed
Town Volunteers,Aquapolis
Blaine's Last Stand,Hidden Fates
Blaine's Last Stand,Dragon Majesty
Blaine's Last Resort,Gym Heroes
Burned Tower,Undaunted
Burning Energy,BREAKthrough
Burning Scarf,Rebel Clash
Bursting Balloon,BREAKpoint
Tangrowth LV.X,Arceus
Blaine's Gamble,Gym Heroes
Tangela,EX FireRed & LeafGreen
Tangela,Cosmic Eclipse
Trainers' Mail,Roaring Skies
Trash Exchange,Gym Heroes
Training Center,Furious Fists
Training Court,Rebel Clash
Transparent Walls,Gym Challenge
Blaine,Gym Challenge
Blacksmith,Flashfire
Taillow,EX Dragon
Black Market ◇,Team Up
Taillow,EX Delta Species
Tag Switch,Unified Minds
Tag Call,Cosmic Eclipse
Black Belt,Triumphant
Blacephalon,SM Black Star Promos
Blacephalon,Cosmic Eclipse
Cacnea,EX Power Keepers
Camerupt,EX Deoxys
Switch,Shining Legends
Switch,Secret Wonders
Castform,EX Delta Species
Big Malasada,SM Trainer Kit (Lycanroc)
Carracosta-GX,SM Black Star Promos
Big Malasada,SM Trainer Kit (Alolan Sandslash)
Big Charm,Sword & Shield
Big Charm,Rebel Clash
Treecko,Stormfront
Bidoof,Stormfront
Bidoof,POP Series 6
Bidoof,Diamond & Pearl
Cascoon,EX Ruby & Sapphire
Bicycle,Plasma Storm
Cascoon,Roaring Skies
Cassius,XY
Castaway,EX Crystal Guardians
Trevenant BREAK,BREAKpoint
Switch,Roaring Skies
Trevor,XY Black Star Promos
Castform Snow-Cloud Form,Legends Awakened
Trevor,XY Trainer Kit (Bisharp)
Swablu,Roaring Skies
Trevor,XY Trainer Kit (Wigglytuff)
Trick Coin,Phantom Forces
Trick Shovel,Flashfire
Triple Acceleration Energy,Unbroken Bonds
Bianca,Legendary Treasures
Bianca,Emerging Powers
Bianca,Boundaries Crossed
Tropical Beach,BW Black Star Promos
Swablu,Generations
Tropical Tidal Wave,HGSS Black Star Promos
Big Malasada,Sun & Moon
Big Parasol,Darkness Ablaze
Bill,Base Set
Switch,Base Set
Switch,Primal Clash
Switch,Kalos Starter Set
Switch,HeartGold & SoulSilver
Switch,HGSS Trainer Kit (Raichu)
Switch,HGSS Trainer Kit (Gyarados)
Camerupt Spirit Link,XY Black Star Promos
Switch,Expedition Base Set
Switch,Evolutions
Capacious Bucket,Rebel Clash
Cape of Toughness,Darkness Ablaze
Cape of Toughness,Vivid Voltage
Captivating Poké Puff,Steam Siege
Capture Energy,Darkness Ablaze
Capture Energy,Rebel Clash
Cara Liss,Vivid Voltage
Switch,EX Ruby & Sapphire
Switch,EX FireRed & LeafGreen
Switch,EX Dragon Frontiers
Switch,EX Delta Species
Switch,Diamond & Pearl
Card-Flip Game,Neo Genesis
Switch,Celestial Storm
Carnivine,Dark Explorers
Switch,Boundaries Crossed
Switch,Black & White
Switch,Battle Academy (Pikachu)
Switch,Battle Academy (Mewtwo)
Switch,Battle Academy (Charizard)
Switch,Base Set 2
Blaine's Quiz #1,Gym Heroes
Blaine's Quiz #2,Gym Challenge
Blaine's Quiz #3,Gym Challenge
Brock's Grit,Evolutions
Tentacool,EX Legend Maker
Tentacool,EX Hidden Legends
Tentacool,Aquapolis
Telescopic Sight,Vivid Voltage
Togepi,Great Encounters
Brigette,BREAKthrough
Togepi,Plasma Storm
Brock,Gym Heroes
Blend Energy WLFM,Dragons Exalted
Blend Energy GFPD,Dragons Exalted
Teddiursa,Call of Legends
Technical Machine TS-2,Legends Awakened
Technical Machine TS-1,Legends Awakened
Teammates,Primal Clash
Brock's Grit,Hidden Fates
Team Magma's Secret Base,Double Crisis
Brock's Grit,Team Up
Team Yell Grunt,Sword & Shield
Team Yell Grunt,Champion's Path
Team Skull Grunt,Sun & Moon
Team Rocket's Trickery,Undaunted
Brock's Pewter City Gym,Hidden Fates
Team Rocket's Meowth,Wizards Black Star Promos
Brock's Protection,Gym Challenge
Team Rocket's Handiwork,Fates Collide
Team Rocket's Evil Deeds,Neo Destiny
Team Plasma Grunt,Plasma Storm
Team Plasma Ball,Plasma Freeze
Team Plasma Badge,Plasma Freeze
Brock's Training,Hidden Fates
Togepi,EX Team Rocket Returns
Togepi,EX Hidden Legends
Tentacool,Legends Awakened
Timer Ball,Sun & Moon
Blue's Tactics,Unified Minds
Bodybuilding Dumbbells,Burning Shadows
Tierno,XY Trainer Kit (Pikachu Libre)
Tierno,XY Trainer Kit (Bisharp)
Tierno,Phantom Forces
Tierno,Kalos Starter Set
Tierno,BREAKpoint
Tierno,XY Trainer Kit (Wigglytuff)
Bonnie,Forbidden Light
Bonsly,Diamond & Pearl
Boost Energy,Aquapolis
Boost Energy,EX Deoxys
Boost Energy,EX Dragon Frontiers
Boost Energy,EX Unseen Forces
Boost Energy,POP Series 5
Boss's Orders,Rebel Clash
Tickling Machine,Gym Heroes
Thunder Mountain ◇,Lost Thunder
Thought Wave Machine,Neo Destiny
The Rocket's Trap,Gym Heroes
The Rocket's Training Gym,Gym Heroes
The Masked Royal,Celestial Storm
Bounce Energy,Skyridge
The Boss's Way,Team Rocket
The Boss's Way,Legendary Collection
Tentacruel,EX Hidden Legends
Time Capsule,Neo Genesis
Time Shard,Aquapolis
Time-Space Distortion,Mysterious Treasures
Brock's Training Method,Gym Heroes
Broken Ground Gym,Neo Destiny
Blaine's Quiz Show,Unified Minds
Torkoal,EX Dragon
Budew,Diamond & Pearl
Budew,Stormfront
Buff Padding,Team Up
Buffer Piece,Arceus
Buffer Piece,EX Dragon
Buffer Piece,EX Dragon Frontiers
Bug Catcher,Battle Academy (Charizard)
Torchic,EX Emerald
Bug Catcher,Battle Academy (Mewtwo)
Bug Catcher,Battle Academy (Pikachu)
Bug Catcher,Unified Minds
Team Aqua's Secret Base,Double Crisis
Team Aqua's Great Ball,Double Crisis
Bulbasaur,Detective Pikachu
Blastoise Spirit Link,Evolutions
Broken Time-Space,Platinum
Blastoise,Unleashed
Team Aqua Schemer,EX Team Magma vs Team Aqua
Tormenting Spray,Burning Shadows
Team Aqua Hideout,EX Team Magma vs Team Aqua
Team Aqua Grunt,Double Crisis
Buneary,Arceus
Team Aqua Conspirator,EX Team Magma vs Team Aqua
Team Aqua Belt,EX Team Magma vs Team Aqua
Team Aqua Ball,EX Team Magma vs Team Aqua
Team Aqua Admin,Double Crisis
Totodile,EX Unseen Forces
Tate & Liza,Celestial Storm
Buried Fossil,Skyridge
Target Whistle,Phantom Forces
Buddy-Buddy Rescue,BREAKthrough
Buck's Training,Legends Awakened
Bubble Coat,Legends Awakened
Skrelp,Cosmic Eclipse
Team Magma's Great Ball,Double Crisis
Team Magma's Baltoy,Double Crisis
Team Magma Schemer,EX Team Magma vs Team Aqua
Team Magma Hideout,EX Team Magma vs Team Aqua
Team Magma Grunt,Double Crisis
Bronzong BREAK,Fates Collide
Togepi,Undaunted
Team Magma Conspirator,EX Team Magma vs Team Aqua
Team Magma Belt,EX Team Magma vs Team Aqua
Togepi,Wizards Black Star Promos
Togepi δ,EX Dragon Frontiers
Team Magma Ball,EX Team Magma vs Team Aqua
Togetic,Aquapolis
Tool Retriever,Furious Fists
Tool Scrapper,Dragons Exalted
Tool Scrapper,Rebel Clash
Team Magma Admin,Double Crisis
Team Galactic's Wager,Mysterious Treasures
Torchic,Dragon Majesty
Team Galactic's Mars,Secret Wonders
Team Galactic's Invention G-109 SP Radar,Rising Rivals
Team Galactic's Invention G-107 Technical Machine G,Rising Rivals
Team Galactic's Invention G-105 Poké Turn,Platinum
Team Galactic's Invention G-103 Power Spray,Platinum
Brooklet Hill,Guardians Rising
Brooklet Hill,Hidden Fates
Team Galactic's Invention G-101 Energy Gain,Platinum
Team Flare Grunt,XY
Team Flare Grunt,Generations
Cedric Juniper,Legendary Treasures
Celadon City Gym,Gym Heroes
Wally's Training,EX Sandstorm
Azurill,EX Sandstorm
Unown T,Mysterious Treasures
Unown U,Legends Awakened
Banette,Triumphant
Unown Y,Legends Awakened
Unown Z,Secret Wonders
Banette,Celestial Storm
Sprout Tower,Neo Genesis
Blizzard Town,Unified Minds
Balloon Berry,Neo Revelation
Spoink,Triumphant
Balloon Berry,EX Dragon
Balloon Berry,EX Deoxys
Spoink,Celestial Storm
Splash Energy,BREAKpoint
Azurill,EX Delta Species
Unown M,Mysterious Treasures
Azurill,Diamond & Pearl
Azurill,Cosmic Eclipse
Upper Energy,Rising Rivals
Uxie,Plasma Blast
VS Seeker,EX FireRed & LeafGreen
Spiritomb,Ultra Prism
VS Seeker,Phantom Forces
VS Seeker,Roaring Skies
VS Seeker,Supreme Victors
Azelf LV.X,Legends Awakened
Spiritomb,Triumphant
Chikorita,EX Hidden Legends
Azelf,Unified Minds
Azelf,Plasma Blast
Unown R,Legends Awakened
Barboach,Mysterious Treasures
Tropical Wind,DP Black Star Promos
Battle Tower,Supreme Victors
Undersea Ruins,Aquapolis
Unidentified Fossil,Cosmic Eclipse
Unidentified Fossil,Forbidden Light
Unidentified Fossil,Team Up
Bea,Vivid Voltage
Star Piece,Skyridge
Stantler,Skyridge
Unidentified Fossil,Ultra Prism
Unidentified Fossil,Unified Minds
Unit Energy FDF,Forbidden Light
Unit Energy GFW,Ultra Prism
Unit Energy LPM,Ultra Prism
Stadium Nav,Unified Minds
Charon's Choice,Rising Rivals
Battle Reporter,Furious Fists
Unown L,Great Encounters
Battle Frontier,EX Power Keepers
Battle Frontier,EX Emerald
Battle Compressor,Phantom Forces
Battle City,BW Black Star Promos
Chatot G,Supreme Victors
Cheerleader's Cheer,Call of Legends
Cheerleader's Cheer,Unleashed
Cheren,Boundaries Crossed
Cheren,Dark Explorers
Cheren,Emerging Powers
Unown ?,Legends Awakened
Unown E,Mysterious Treasures
Cherish Ball,Unified Minds
Unown I,Mysterious Treasures
Spiritomb,Shining Legends
Spiritomb,Rebel Clash
Spiritomb,Legends Awakened
Spearow,EX Crystal Guardians
Chingling,Mysterious Treasures
Chingling,Supreme Victors
Chip-Chip Ice Axe,Unbroken Bonds
Choice Band,Burning Shadows
Choice Band,Guardians Rising
Choice Helmet,Lost Thunder
Cilan,Next Destinies
Speed Lightning Energy,Rebel Clash
Cinccino,Crimson Invasion
Special Charge,Steam Siege
Vulpix,Team Up
Cinnabar City Gym,Gym Challenge
Circhester Bath,Vivid Voltage
Wailord,Celestial Storm
Clamperl,Primal Clash
Spiritomb,Legendary Treasures
Wait and See Hammer,Lost Thunder
Wally,Generations
Sparkling Robe,Furious Fists
Wally,Roaring Skies
Claw Fossil,EX Holon Phantoms
Wally's Training,EX Emerald
Claw Fossil,EX Legend Maker
Claw Fossil,EX Power Keepers
Claw Fossil,EX Sandstorm
Claw Fossil,Legends Awakened
Claw Fossil Anorith,Steam Siege
Clawitzer,Forbidden Light
Space Center,EX Deoxys
Sophocles,Shining Legends
Chingling,Majestic Dawn
Speed Stadium,Diamond & Pearl
Spell Tag,Lost Thunder
Vulpix,Dragons Exalted
Spinda,Primal Clash
Aurora Energy,Sword & Shield
Audino Spirit Link,Fates Collide
Assault Vest,BREAKthrough
Aspertia City Gym,Boundaries Crossed
Venture Bomb,EX Team Rocket Returns
Venusaur Spirit Link,Evolutions
Vermilion City Gym,Gym Heroes
Victory Cup,BW Black Star Promos
Victory Piece,Plasma Storm
Virbank City Gym,Plasma Storm
Viridian City Gym,Gym Challenge
Viridian Forest,Team Up
Chimecho,Nintendo Black Star Promos
Chimecho,Supreme Victors
Viridian Forest,Unified Minds
Vitality Band,Sword & Shield
Spinarak,Ancient Origins
Spikemuth,Darkness Ablaze
Chinchou,Boundaries Crossed
Volkner,Ultra Prism
Volkner's Philosophy,Rising Rivals
Aromatic Grass Energy,Vivid Voltage
Armor Fossil Shieldon,Steam Siege
Armor Fossil,Platinum
Armor Fossil,Mysterious Treasures
Archie's Ace in the Hole,Primal Clash
Archie,EX Team Magma vs Team Aqua
Spheal,EX Hidden Legends
Underground Lake,Skyridge
Stark Mountain,Legends Awakened
Starly,BREAKthrough
Turffield Stadium,Rebel Clash
Super Scoop Up,EX FireRed & LeafGreen
Super Scoop Up,EX Delta Species
Bellsprout,EX Legend Maker
Super Scoop Up,Diamond & Pearl
Channeler,Unified Minds
Super Scoop Up,Celestial Storm
Super Scoop Up,Burning Shadows
Super Scoop Up,Black & White
Super Rod,Noble Victories
Super Rod,Neo Genesis
Chansey,EX FireRed & LeafGreen
Turbo Patch,Darkness Ablaze
Turffield Stadium,Champion's Path
Chansey,EX Unseen Forces
Super Rod,Dragon Vault
Charity,Gym Heroes
Twin Energy,Rebel Clash
Super Rod,BREAKthrough
Super Potion,XY
Super Potion,Evolutions
Super Potion,Base Set 2
Super Potion,Base Set
Super Energy Retrieval,Neo Genesis
Super Energy Removal 2,Aquapolis
Super Energy Removal,Base Set 2
Super Energy Removal,Base Set
Super Boost Energy ◇,Ultra Prism
Sunyshore City Gym,Rising Rivals
Chaos Gym,Gym Challenge
Chaos Tower,Fates Collide
Chandelure,Phantom Forces
Super Scoop Up,Expedition Base Set
Super Scoop Up,Furious Fists
Super Scoop Up,Majestic Dawn
Tropical Wind,Nintendo Black Star Promos
Bertha's Warmth,Rising Rivals
Swablu,BREAKthrough
Berry,Neo Genesis
Suspicious Food Tin,Champion's Path
Bent Spoon,Fates Collide
Bench Shield,Arceus
Celebi ☆,EX Crystal Guardians
Surskit,Plasma Blast
Surskit,Mysterious Treasures
Surskit,Celestial Storm
Celio's Network,EX Crystal Guardians
Celio's Network,EX FireRed & LeafGreen
Celio's Network,EX Trainer Kit 2 (Minun)
Surprise! Time Machine,EX Team Rocket Returns
Surprise Box,Unbroken Bonds
Superior Energy Retrieval,Plasma Freeze
Super Scoop Up,Unleashed
Super Scoop Up,Shining Legends
Cerulean City Gym,Gym Heroes
Cessation Crystal,EX Crystal Guardians
Challenge!,Legendary Collection
Challenge!,Team Rocket
Champion's Room,Supreme Victors
Champions Festival,BW Black Star Promos
Champions Festival,SM Black Star Promos
Champions Festival,XY Black Star Promos
Championship Arena,Nintendo Black Star Promos
Super Scoop Up,Neo Genesis
Chaotic Swell,Cosmic Eclipse
Sunny Castform,EX Delta Species
Underground Expedition,Skyridge
Bebe's Search,Secret Wonders
Ultimate Zone,DP Black Star Promos
Ultra Ball,Dark Explorers
Ultra Ball,Fates Collide
Ultra Ball,Flashfire
Startling Megaphone,Flashfire
Starmie BREAK,Evolutions
Ultra Ball,Plasma Blast
Ultra Ball,Plasma Freeze
Ultra Ball,Roaring Skies
Ultra Ball,Shining Legends
Ultra Ball,Sun & Moon
Ultra Forest Kartenvoy,Unbroken Bonds
Bede,Sword & Shield
Bede,Champion's Path
Bebe's Search,Rising Rivals
Bellelba & Brycen-Man,Cosmic Eclipse
Bebe's Search,Mysterious Treasures
Beauty,Vivid Voltage
Ultra Recon Squad,Forbidden Light
Ultra Space,Forbidden Light
Umbreon δ,EX Delta Species
Umbreon ☆,POP Series 5
Underground Expedition,Celestial Storm
Underground Expedition,Rising Rivals
Beastite,Cosmic Eclipse
Beast Ring,Forbidden Light
Starly,Darkness Ablaze
Beast Energy ◇,Forbidden Light
Beast Bringer,Unbroken Bonds
Beast Ball,Celestial Storm
Ultimate Zone,Arceus
U-Turn Board,Unified Minds
Tyrogue,Unbroken Bonds
Beedrill Spirit Link,XY Black Star Promos
Twins,Triumphant
Suicune,Call of Legends
Twist Mountain,Dark Explorers
Sudowoodo,BREAKpoint
Sudowoodo,Aquapolis
Struggle Gloves,Darkness Ablaze
Strong Energy,Furious Fists
Strong Energy,Fates Collide
Charizard Spirit Link,Evolutions
Strength Charm,Expedition Base Set
Strength Charm,EX Team Magma vs Team Aqua
Strength Charm,EX Dragon Frontiers
Strength Charm,EX Deoxys
Strange Cave,EX Legend Maker
Stone Fighting Energy,Vivid Voltage
Steven's Resolve,Celestial Storm
Steven's Advice,EX Power Keepers
Steven's Advice,EX Hidden Legends
Steven,Roaring Skies
Steven,Ancient Origins
Steelix Spirit Link,Steam Siege
Steel Shelter,Phantom Forces
Stealthy Hood,Unbroken Bonds
Beldum,EX Trainer Kit 2 (Plusle)
Tympole,Rebel Clash
Tynamo,Unified Minds
Beginning Door,DP Black Star Promos
Beginning Door,Arceus
Tyranitar Spirit Link,Ancient Origins
Skrelp,Flashfire
Random Receiver,Fates Collide
Skrelp,BREAKpoint
Mt. Coronet,Ultra Prism
Good Rod,Unleashed
Good Manners,Gym Heroes
Multi Energy,EX Emerald
Multi Energy,EX FireRed & LeafGreen
Multi Energy,EX Holon Phantoms
Multi Energy,EX Power Keepers
Multi Energy,EX Sandstorm
Multi Energy,Mysterious Treasures
Multi Switch,Burning Shadows
Multi Switch,Guardians Rising
Multi Technical Machine 01,Expedition Base Set
Multi Technical Machine 01,POP Series 2
Munchlax,Rising Rivals
Munchlax,Unified Minds
Munna,McDonald's Collection 2011
Munna,Unified Minds
Murkrow,Neo Genesis
Murkrow,POP Series 1
Murkrow,Secret Wonders
Murkrow,Skyridge
Golduck BREAK,BREAKpoint
Murkrow,Unbroken Bonds
Muscle Band,XY
Mt. Moon,EX FireRed & LeafGreen
Mt. Coronet,Hidden Fates
Mysterious Fossil,EX Legend Maker
Mr. Stone's Project,EX Holon Phantoms
Moomoo Milk,HeartGold & SoulSilver
Moomoo Milk,Lost Thunder
Moonlight Stadium,Great Encounters
Morelull,Lost Thunder
Morgan,Team Up
Gourgeist,XY Trainer Kit (Noivern)
Gourgeist,XY
Morty,Lost Thunder
Mount Lanakila,Burning Shadows
Mountain Ring,Furious Fists
Mr. Briney's Compassion,EX Dragon
Mr. Briney's Compassion,POP Series 2
Mr. Fuji,Fossil
Gothita,Guardians Rising
Mr. Mime,Mysterious Treasures
Gothita,Dragons Exalted
Gossifleur,SWSH Black Star Promos
Mr. Mime ex,EX FireRed & LeafGreen
Mr. Mime-GX,Celestial Storm
Mr. Mime-GX,Team Up
Mr. Stone's Project,EX Dragon Frontiers
Mr. Stone's Project,EX Emerald
Goop Gas Attack,Team Rocket
Mysterious Fossil,EX Holon Phantoms
Mysterious Fossil,EX Power Keepers
Moomoo Cheese,Vivid Voltage
Gloom,SM Trainer Kit (Alolan Ninetales)
Nessa,Vivid Voltage
Nest Ball,Sun & Moon
Net Ball,Lost Thunder
New Pokédex,Neo Genesis
Nickit,Darkness Ablaze
Nickit,Sword & Shield
Glimwood Tangle,Darkness Ablaze
Gligar,Roaring Skies
Gligar,Guardians Rising
Glameow,Unbroken Bonds
Nidoran ♂,Secret Wonders
Glalie Spirit Link,BREAKthrough
Nidorino,Rising Rivals
Night Maintenance,Mysterious Treasures
Gladion,Crimson Invasion
Glacia's Stadium,EX Power Keepers
Night Maintenance,POP Series 8
Night Maintenance,Secret Wonders
Night Pokémon Center,Diamond & Pearl
Night Teleporter,Supreme Victors
Nightly Garbage Run,Team Rocket
Nihilego,Lost Thunder
Nincada,Supreme Victors
Natu,Rebel Clash
Natu,EX Unseen Forces
Mysterious Fossil,EX Sandstorm
Natu,Cosmic Eclipse
Mysterious Fossil,Fossil
Mysterious Fossil,Legendary Collection
Mysterious Shard,EX Crystal Guardians
Mysterious Treasure,Forbidden Light
Mystery Energy,Phantom Forces
Mystery Plate α,Skyridge
Mystery Plate β,Skyridge
Gold Potion,Boundaries Crossed
Gold Berry,Neo Genesis
Mystery Plate γ,Skyridge
Mystery Plate δ,Skyridge
Mystery Zone,Skyridge
N,BW Black Star Promos
Golbat,Phantom Forces
N,Dark Explorers
Golbat,Generations
N,Fates Collide
N,Noble Victories
N's Resolve,Cosmic Eclipse
Golbat,EX Delta Species
Naganadel-GX,Unified Minds
Nanu,Team Up
Narrow Gym,Gym Heroes
Moomoo Milk,HGSS Trainer Kit (Raichu)
Moo-Moo Milk,Neo Genesis
Giratina LV.X,DP Black Star Promos
Mirage Stadium,Skyridge
Misdreavus,Crimson Invasion
Misdreavus,Neo Revelation
Misdreavus,Stormfront
Misdreavus,Unbroken Bonds
Misdreavus,Unleashed
Grimsley,Unified Minds
Mismagius GL LV.X,Rising Rivals
Missing Clover,Ultra Prism
Misty,Gym Heroes
Grimer,Platinum
Misty & Lorelei,Cosmic Eclipse
Misty's Cerulean City Gym,Hidden Fates
Misty's Determination,BREAKpoint
Grimer,Aquapolis
Misty's Determination,Evolutions
Misty's Determination,Hidden Fates
Misty's Duel,Gym Heroes
Misty's Favor,Unified Minds
Greninja BREAK,BREAKpoint
Greninja,Detective Pikachu
Misty's Psyduck,Gym Challenge
Green's Exploration,Unbroken Bonds
Greedy Dice,Steam Siege
Misdreavus,BREAKthrough
Miracle Energy,Neo Destiny
Great Catcher,Cosmic Eclipse
Miracle Berry,Neo Genesis
Gulpin,Celestial Storm
Mew-EX,Dragons Exalted
Mew-EX,Legendary Treasures
Mew-EX,XY Black Star Promos
Mewtwo,Box Toppers (Legendary Collection)
Mewtwo,Legendary Collection
Mewtwo Spirit Link,BREAKthrough
Miasma Valley,Platinum
Milo,Champion's Path
Milo,Rebel Clash
Mime Jr.,Call of Legends
Mime Jr.,DP Black Star Promos
Mime Jr.,Diamond & Pearl
Mime Jr.,Supreme Victors
Mimikyu,Guardians Rising
Mimikyu,Team Up
Mina,Lost Thunder
Minion of Team Rocket,Gym Heroes
Minun,Dark Explorers
Minun,EX Deoxys
Minun,EX Dragon
Minun,Legendary Treasures
Groudon Spirit Link,Primal Clash
Great Potion,Unified Minds
Great Ball,XY
Moo-Moo Milk,Expedition Base Set
Grass Energy,XY Trainer Kit (Latias)
Grass Energy,Team Up Energies
Grass Energy,Sword & Shield Energies
Grass Energy,Sun & Moon Energies
Grass Energy,SM Trainer Kit (Alolan Ninetales)
Grass Energy,Neo Genesis
Grass Energy,HeartGold & SoulSilver
Grass Energy,Gym Heroes
Grass Energy,Gym Challenge
Grass Energy,Guardians Rising
Grass Energy,Generations
Grass Energy,Expedition Base Set
Grass Energy,Evolutions
Grass Energy,EX Ruby & Sapphire
Grass Energy,EX Power Keepers
Grass Energy,EX Holon Phantoms
Grass Energy,EX Emerald
Grass Energy,Diamond & Pearl Energies
Grass Energy,Diamond & Pearl
Grass Energy,Call of Legends
Grass Energy,Black & White
Grass Energy,Base Set 2
Grass Energy,Base Set
Grass Cube 01,Aquapolis
Grass Energy,XY
Grass Memory,Team Up
Great Ball,Sword & Shield
Mom's Kindness,Majestic Dawn
Great Ball,Sun & Moon
Great Ball,Stormfront
Great Ball,Shining Legends
Great Ball,SM Trainer Kit (Lycanroc)
Great Ball,SM Trainer Kit (Alolan Sandslash)
Great Ball,SM Trainer Kit (Alolan Raichu)
Great Ball,SM Trainer Kit (Alolan Ninetales)
Great Ball,Emerging Powers
Great Ball,EX Power Keepers
Great Ball,EX FireRed & LeafGreen
Great Ball,EX Delta Species
Great Ball,Champion's Path
Great Ball,Boundaries Crossed
Great Ball,Battle Academy (Pikachu)
Great Ball,Battle Academy (Mewtwo)
Great Ball,Battle Academy (Charizard)
Great Ball,BREAKpoint
Misty's Tears,Gym Challenge
Misty's Water Command,Hidden Fates
Misty's Wish,Gym Challenge
Misty's Wrath,Gym Heroes
Mixed Herbs,Lost Thunder
Molayne,Unbroken Bonds
Giratina LV.X,Platinum
Ninja Boy,Steam Siege
Mew δ,POP Series 5
Frillish,Phantom Forces
Friend Ball,Skyridge
Friend Ball,Celestial Storm
Fresh Water Set,Primal Clash
Fossil Researcher,Furious Fists
Fossil Excavator,Mysterious Treasures
Fossil Excavator,Majestic Dawn
Fossil Excavation Map,Forbidden Light
Fossil Excavation Kit,Fates Collide
Fossil Egg,Neo Discovery
Forest of Giant Plants,Ancient Origins
Forest Guardian,Aquapolis
Foongus,Unified Minds
Foongus,Plasma Storm
Piers,Champion's Path
Piers,Darkness Ablaze
Focus Sash,Furious Fists
Focus Band,Neo Genesis
Flygon LV.X,Rising Rivals
Fluffy Berry,EX Unseen Forces
Flower Shop Lady,Undaunted
Florges BREAK,BREAKthrough
Florges,Flashfire
Floral Crown,Generations
Frillish,Next Destinies
Froakie,BREAKpoint
Float Stone,Plasma Freeze
Frogadier,BREAKpoint
Full Heal Energy,Team Rocket
Full Heal Energy,Legendary Collection
Full Heal,Rebel Clash
Full Heal,HeartGold & SoulSilver
Full Heal,Furious Fists
Full Heal,Expedition Base Set
Full Heal,Evolutions
Full Heal,Champion's Path
Full Heal,Black & White
Full Heal,Base Set 2
Full Heal,Base Set
Full Flame,EX Legend Maker
Fuchsia City Gym,Gym Challenge
Frozen City,Plasma Freeze
Pichu,Expedition Base Set
Pichu,HeartGold & SoulSilver
Pichu,Neo Genesis
Pichu,POP Series 9
Pichu,Stormfront
Pichu,Wizards Black Star Promos
Froslass,Generations
Pichu δ,EX Holon Phantoms
Pidgeot Spirit Link,Evolutions
Floette,Forbidden Light
Float Stone,BREAKthrough
Pichu,EX Power Keepers
Poison Barb,Sun & Moon
Poké Ball,Black & White
Poké Ball,Boundaries Crossed
Poké Ball,Champion's Path
Poké Ball,Diamond & Pearl
Fisherman,Skyridge
Fisherman,Hidden Fates
Fisherman,HeartGold & SoulSilver
Fisherman,Celestial Storm
Fisherman,BREAKthrough
First Ticket,Dragon Vault
Fire Memory,Ultra Prism
Fire Energy,XY
Fire Energy,Team Up Energies
Fire Energy,Sword & Shield Energies
Fire Energy,Sun & Moon Energies
Fire Energy,Neo Genesis
Fire Energy,HeartGold & SoulSilver
Fire Energy,Gym Heroes
Fire Energy,Gym Challenge
Fire Energy,Generations
Fire Energy,Expedition Base Set
Fire Energy,Evolutions
Fire Energy,EX Trainer Kit 2 (Minun)
Poké Ball,Base Set 2
Poipole,Hidden Fates
Flint's Willpower,Rising Rivals
Poipole,Forbidden Light
Fletchling,Generations
Flash Energy,Ancient Origins
Plasma Energy,Plasma Blast
Plasma Energy,Plasma Freeze
Plasma Energy,Plasma Storm
Plasma Frigate,Plasma Storm
Plume Fossil,Noble Victories
Plume Fossil,Plasma Blast
Plumeria,Burning Shadows
PlusPower,BW Trainer Kit (Excadrill)
PlusPower,BW Trainer Kit (Zoroark)
PlusPower,Base Set
PlusPower,Base Set 2
PlusPower,Black & White
PlusPower,Diamond & Pearl
PlusPower,Platinum
PlusPower,Secret Wonders
PlusPower,Unleashed
Plusle,EX Deoxys
Plusle,EX Dragon
Flabébé,Cosmic Eclipse
Flabébé,BREAKthrough
Po Town,Burning Shadows
Pichu,EX Sandstorm
Pichu,EX Emerald
Nita,Team Up
